gene	log2FC	FDR
WDR7	0.34	0.0332415032897471
KIF20B	-0.36	0.0316192291152192
PCDHGA5	-1.54	0.0672751976756875
COL24A1	1.52	0.0534654134355192
LOH12CR1	-0.62	0.0499872081539396
GLTPD1	0.44	0.0388900202123941
PLXNB3	-1.93	0.0676666738961366
RRAS2	0.43	0.0341616429004677
CETN3	-0.38	0.0359783009798257
TRAP1	-0.79	0.0322977404434139
FAM86B1	-0.91	0.0472782889373513
CA3	0.89	0.0600040985769309
TMA16	-0.39	0.0326513253125937
MRPL10	-0.28	0.0331170870498916
NADSYN1	-0.38	0.0326190173705025
BACH1	0.3	0.032029880262279
SLC25A21-AS1	-0.68	0.0552056516297302
UQCRH	-0.5	0.0320271549848553
ZNF844	0.74	0.0500578485998346
NAT14	-0.41	0.0367885433335258
CCNG1	-0.7	0.0320925008871627
PET112	-0.58	0.03651317812036
NFYA	0.52	0.0335025864235413
PPP2R3B	-0.44	0.0400792037182287
PPP2R3B_ENSGR0000167393.12	-0.44	0.0400792037182287
CRLS1	-0.4	0.0343799632047341
RNF125	-0.58	0.0359371002915768
ZNF76	0.32	0.0338795494126085
AL357673.1	-0.66	0.0479656394633555
TMEM92	2.02	0.0711675612264023
AP006621.5	-0.52	0.0485306473736676
ZNF799	0.64	0.0383009734249463
FANCM	-0.3	0.0338101383558738
TMEM14B	-0.35	0.0328111644009205
COX11	-0.33	0.0333063929967886
AP3S1	-0.35	0.0331848569736607
CCND1	1.04	0.0687599583820968
NTN3	-0.86	0.0527895550125284
TRIM46	0.52	0.0433040625565524
TESK2	0.71	0.0431486610841299
SLC43A3	-0.45	0.0323933507443068
RPL29	-0.5	0.034758362251981
HIST1H2BI	-0.77	0.0332142665853733
TRABD	-0.36	0.032680076396116003
FANCI	-0.31	0.0326513253125937
PPP2R3A	1.16	0.0616218082922258
XXYLT1	0.41	0.0403003527529894
IMMP1L	-0.48	0.0407550599979422
FZD1	0.48	0.034758362251981
ECM1	0.66	0.034758362251981
DLEU1	-0.75	0.0483698625786364
STX3	0.29	0.034645516074667
BLVRB	-0.65	0.0367852648522801
TTC23	-0.58	0.0507744261480715
C7orf43	0.32	0.0375988264676204
PUS7	-0.77	0.034017992818273
CCNA2	-0.55	0.0327855888663586
HAUS4	-0.47	0.0330096261381164
MON1B	0.39	0.0334410399843238
MRPS22	-0.38	0.0345935962376125
APOE	-0.7	0.0595785640289644
RPS12	-0.56	0.0353994734096526
SLC24A1	0.36	0.0388890445863868
RP11-159D12.5	0.66	0.0544577599474748
ZNF706	0.36	0.0332142665853733
ERMARD	-0.38	0.0392371438135528
SLC20A2	-0.36	0.0345425913039769
FITM2	0.52	0.0425099663861544
PEAK1	-0.48	0.0410698920432425
NOG	-0.77	0.0341340873819
IFI44	-0.9	0.0611254962803445
SLC26A9	1.46	0.0534654134355192
DDX50	-0.32	0.033219438450463
PSD4	0.43	0.0331848569736607
PLP2	-0.54	0.034758362251981
MOSPD1	0.48	0.0389870513014851
PLCL2	0.5	0.0348868621699678
EXOSC2	-0.45	0.0333998329700415
TRPM4	-1.64	0.0607602905830126
AC132192.1	-1.21	0.0710672308924169
CCR1	-1.38	0.0464162033394829
BCAT2	-0.53	0.0365732616056257
UBBP4	0.75	0.0582650260087193
LY6G5C	0.91	0.066150402153705
KLF15	-1.27	0.0656214267238639
NUP43	-0.32	0.0332888412592433
RPS3A	-0.51	0.0375609721085448
APLF	0.71	0.0419803980508805
HOXA2	1.23	0.0726853233653557
ARHGAP19	0.27	0.0333917034520918
DGKZ	-0.28	0.0337756347954515
PIPOX	1.17	0.0521891046522067
SEPP1	1.31	0.0489156890470722
PCSK7	0.38	0.0350001711623072
SSBP4	-0.31	0.0346671605672554
PARP2	-0.33	0.03660518053779
TK1	-0.56	0.034017992818273
RPSA	-0.45	0.0375412086048136
UGCG	0.51	0.0345586182576586
ZC3HAV1L	-1.07	0.0389403662495242
PYROXD2	0.91	0.054295795264944297
KCNE3	-1.42	0.0622428821766402
MOCS1	-0.6	0.0472988055899578
OMA1	0.48	0.0399332517846223
RAB5A	0.34	0.0360880196523129
RTN2	0.89	0.0523141553028439
RPL11	-0.53	0.0364178025637924
RPS24	-0.54	0.0367885433335258
SAP25	0.85	0.0558183802009232
ZNF438	-0.5	0.0484652176395211
PIGZ	-0.53	0.0543784604766404
GINS1	-0.33	0.0342123985674782
ZNF720	0.39	0.0354991253311438
RPSAP58	-0.31	0.0341616429004677
BCAR3	-0.62	0.0606040932958884
CD53	0.37	0.0340097659912679
NT5DC1	-0.38	0.0366939825899872
ASTN2	-0.64	0.0656065648550958
THYN1	-0.34	0.0355477052520278
LRSAM1	-0.39	0.0431934257930829
URGCP	0.5	0.0437501078644318
MS4A1	3.18	0.0709982230777105
HDGFRP3	0.38	0.0342938422030513
KIF2C	-0.35	0.0341176234596691
LRIT3	0.87	0.0720943787206549
LHPP	0.72	0.0412074807928338
GYPE	0.58	0.0508752877093145
ZNF37A	-0.43	0.0349552200128777
RHOT2	-0.32	0.0351446189316737
DEGS2	1.49	0.0728473580282893
DENND6B	-0.42	0.0385165818737613
MGAT4A	0.52	0.0367852648522801
LGALS9	0.42	0.0376212267101211
PIF1	-0.66	0.0392697986143715
DDX18	-0.42	0.0344209986477078
TIGD4	0.73	0.0658075334629862
CAV2	-1.12	0.0698937690178083
ORMDL3	0.33	0.0356798084257303
AKAP7	0.5	0.0466365252349401
IRX5	0.48	0.048040551194503
RBM18	0.42	0.03651317812036
JRKL	-0.41	0.0395368485526772
ALDH1A1	-1.28	0.0570224286275641
FSD1L	0.42	0.0410698920432425
ZNF286A	2.95	0.075211562987059
PRELID2	-0.36	0.0402554310362117
TMEM156	-1.19	0.0705572066479306
POU2F2	1.11	0.0553493923188074
TAZ	-0.39	0.0391850737786834
SEMA3G	-0.48	0.0463132177907263
GGCT	-0.48	0.038090633114872
TRAPPC3	0.44	0.0367013069313562
UNG	-0.71	0.0367885433335258
APOC2	0.49	0.0389583646912801
WARS2	-0.4	0.0392552745555282
ZNF839	-0.37	0.0407546108883965
CASP8	0.27	0.0357972349092462
DPM3	-0.43	0.0468422682431624
ERO1L	-0.54	0.0350967382889659
FGD3	0.44	0.0357972349092462
RMDN2	0.78	0.0645808733127066
ZBTB8OS	-0.43	0.0428117301834381
MGAT5B	-0.66	0.043277074047137
NBEAL1	-0.42	0.0354548716666355
MAGT1	0.31	0.0351446189316737
NFATC2	0.59	0.0400028863105388
CLCN3	0.3	0.0352440862004716
SNTB2	0.38	0.0361411830985477
DDT	-0.63	0.0381291479886874
TANC1	0.89	0.046162814052823
ISG15	0.57	0.0418643593936247
ABHD16A	0.35	0.0371611774932767
ZNF776	0.26	0.0367852648522801
GSTO1	-0.35	0.0365732616056257
TRIM2	0.77	0.0528512066942725
SLC37A2	-1.12	0.0624747901129231
DCBLD2	0.33	0.0367885433335258
TCEA2	-0.7	0.0516033718902515
CECR5	-0.36	0.0367885433335258
UBE2A	0.34	0.03651317812036
VWA1	-1.02	0.0675116031606567
TRIM38	0.33	0.03651317812036
HSDL2	-0.5	0.0379612271585489
ZSWIM6	0.39	0.037760398715163
MIF	-1.09	0.0360916588783012
TATDN3	-0.48	0.0409589012636782
FKTN	-0.37	0.0390593855720903
SLC9A3R1	0.37	0.0391850737786834
RPL23	-0.58	0.0389583646912801
MS4A4A	0.92	0.0645285011651401
DVL1	0.26	0.0367885433335258
SETD1B	0.62	0.043245472912105
SACM1L	0.33	0.03651317812036
ZCRB1	-0.37	0.0433084638951639
PAAF1	-0.37	0.0412074807928338
CNTNAP1	0.61	0.0471541894625804
ZCCHC14	0.5	0.0445767161800986
CCDC77	-0.41	0.0395747332184005
CTD-2192J16.22	-1.11	0.0469774998769524
PALD1	-1.44	0.07429640266404
DRP2	-0.46	0.0499854743338504
VPS53	0.45	0.0385557385195514
PARP10	0.4	0.037386047863881
ZNF879	0.32	0.0419739863881455
NYNRIN	1.24	0.075347312877689
PCTP	0.4	0.0389870513014851
NEK2	-0.46	0.0384576378020096
PLEKHA1	0.53	0.0423711621563429
MRRF	-0.43	0.039789550384967
SEC31A	0.27	0.0367852648522801
TRAPPC6A	-0.48	0.0441676389255295
EIF4G3	0.27	0.0367885433335258
DIS3L	-0.37	0.0377079079272711
VCPIP1	0.35	0.0367885433335258
MPND	-0.53	0.0456880391664163
SIRT2	0.35	0.0392371438135528
CYTH4	1.17	0.0410698920432425
IFT122	-0.33	0.0409269705805141
PHTF2	0.36	0.0383438179608692
RCN2	0.28	0.037828089327217
ARMCX1	0.74	0.0689504541744067
VIMP	0.74	0.041173925103735
TMEM80	-0.39	0.0433084638951639
MAP1LC3B2	0.91	0.0679686011188596
SF3B5	-0.49	0.0385434049975444
ABHD14A	-0.41	0.0435568020699464
C11orf74	-0.65	0.051884625941792
ZNF491	0.75	0.0587572597422973
SPIB	0.35	0.0392733202886933
RABEP1	0.33	0.0372850535490226
ATPIF1	-0.31	0.0385235345039643
CERCAM	-1.18	0.0419739863881455
KPTN	0.42	0.0461019098256883
HIST1H1C	-0.86	0.0408455462365485
TCEB3	0.5	0.038090633114872
KLC1	0.25	0.0379357840611184
NAT10	-0.62	0.037760398715163
FAM120C	0.34	0.0433247164145888
TAC4	-1.49	0.0656065648550958
SCFD2	-0.53	0.0419739863881455
PLEKHA6	1.44	0.0597414162136753
AK5	0.41	0.0503210755127561
PHYHD1	-0.92	0.0437310442035835
COQ10A	0.3	0.0412722565015238
SS18L1	0.31	0.0400810647604116
NAGPA	-0.75	0.0509901172080347
EMILIN1	-0.38	0.0381249696984388
RILPL1	1.81	0.0794779272838223
MPZL3	0.55	0.0511041896562492
GIPC1	0.4	0.0412074807928338
CAMK1D	-0.43	0.0391155884258009
SH2D3A	-0.82	0.0689504541744067
FAM27A	-0.63	0.0627150907559164
DGCR6L	-0.35	0.0410460012852755
CHIC1	0.29	0.0419735348511012
TMEM69	-0.31	0.0403003527529894
IFITM10	1	0.0697729114134997
TNIP2	0.36	0.0400994281664101
FXR2	0.3	0.0392733202886933
PPIL3	-0.48	0.0415281304717871
PAK1	-0.25	0.0399357133989697
PDPN	-1.16	0.075471135449254
MBNL1	0.36	0.0411046860128859
NTHL1	-0.61	0.041173925103735
SLC37A3	0.29	0.0419803980508805
UCHL3	-0.56	0.0420218131565897
MSH5	-0.55	0.0395523618556598
SMC3	-0.42	0.0381512202252862
FAM76A	0.35	0.0440237413498755
CMTR2	0.3	0.0388890445863868
MCM10	-0.51	0.0385867006829048
IL17RC	-0.62	0.0516447803278386
LPAR6	-0.75	0.038829533968771
C16orf95	-0.59	0.0659242696242121
CBLN3	1.05	0.078882245877199
HMHB1	-0.63	0.0616218082922258
WDR54	-1.16	0.0410460012852755
SPIDR	-0.34	0.0400692580634708
GPRIN3	1.2	0.0699573503839678
TPK1	-0.49	0.0563257616996865
INSIG1	-0.8	0.0394269893282566
PTCD2	-0.44	0.0490779981542714
IL16	0.57	0.0400792037182287
C22orf43	0.78	0.0813352059746257
GINM1	0.32	0.0414396618568709
WHSC1	-0.27	0.0392495487940185
CAPZB	0.33	0.0389255760126129
SPHK1	0.69	0.0586232118266489
BCHE	-1.17	0.0832130957533462
C19orf12	0.32	0.0435476671886436
RP11-122A3.2	-0.58	0.0443835476628647
EFCAB14	0.33	0.0392697986143715
ZNF169	-0.43	0.0543784604766404
ZGPAT	0.28	0.0418498373177778
FBXW7	0.28	0.0394269893282566
BLK	-0.24	0.0388900202123941
PRKD2	0.5	0.043003355026345
TTC37	-0.36	0.0390593855720903
ARID3C	-0.8	0.0835703733344971
EXOSC7	-0.47	0.0423711621563429
ASMTL	0.28	0.0423002848600688
ASMTL_ENSGR0000169093.10	0.28	0.0423002848600688
IDH3B	-0.4	0.0395257790351421
TSC22D4	0.39	0.0395666953619371
NUFIP2	0.39	0.0400028863105388
CTNNB1	0.26	0.0403108589177714
ACTL10	-1.18	0.072499222596437
EBP	-0.87	0.0392495487940185
SUCLG2	-0.36	0.0410265405437393
HIST1H4B	-1.19	0.0400028863105388
SLC12A2	0.37	0.0391850737786834
FAM98C	0.51	0.0534654134355192
NUP35	-0.5	0.0433247164145888
LYSMD4	0.45	0.0496095232855389
XYLT2	-0.32	0.0414540946447452
PCDH12	1.63	0.0712524724366892
ST3GAL5	-0.89	0.0733439225749285
HDHD3	0.39	0.0527895550125284
CECR1	0.88	0.0479681559810322
SAMD1	-0.45	0.0418543001955664
KIAA1024	0.62	0.0611549572248313
FBXL13	0.78	0.0774626346651201
TMPO	-0.32	0.0419739863881455
TLR3	-0.84	0.061763205410511
LPHN1	0.33	0.0430080423784167
H2AFV	0.28	0.0394269893282566
TMCC1	0.35	0.0443973132793831
TP53I11	-0.43	0.0440505243596175
TIGD1	-0.37	0.0476684856840638
UCN	-0.7	0.0698810547701274
MRPS21	-0.42	0.0440505243596175
BCL11A	0.43	0.039789550384967
EIF3M	-0.42	0.0397606600475069
STS	0.58	0.043743976320997
RPL35A	-0.51	0.0412489521330437
PLEC	1.07	0.0423711621563429
POLR2A	0.49	0.0426218891848393
TRIP6	-0.36	0.0418576323419573
ZSWIM4	0.41	0.0498704312326923
ARHGEF39	-0.35	0.0451284598109436
NCAPD3	-0.26	0.039789550384967
C10orf88	0.34	0.0477793529981006
KIAA1279	0.35	0.0437501078644318
DSN1	-0.31	0.0410460012852755
ZNRF1	0.46	0.0413146501842894
ZC3H12A	0.48	0.056895586393625
BUB1	-0.46	0.0400792037182287
GPR108	0.41	0.0419735348511012
RERE	0.53	0.0443973132793831
IMPDH2	-0.38	0.0419735348511012
RPS9	-0.4	0.0425136860809663
BBS9	-0.71	0.059416409417275
CD63	0.32	0.0408444847368514
TBKBP1	0.54	0.0418543001955664
HIBCH	-0.42	0.0473521553355646
ORC6	-0.27	0.0410698920432425
PLK4	-0.29	0.0406818558045753
CCNYL1	0.47	0.0518995107472195
DDX19B	-0.33	0.0433620467529124
GBE1	-1.98	0.0412074807928338
KIAA0430	0.35	0.0410698920432425
GIMAP6	0.48	0.048233712498686
PPP1R16B	0.44	0.0408444847368514
WDR75	-0.43	0.0412074807928338
FAIM3	0.63	0.0473086990855451
EEF1B2	-0.56	0.0435476671886436
ERI2	-0.32	0.0439250401898227
KITLG	-0.93	0.0877439148801954
UBR7	0.28	0.0408672994474389
AAGAB	0.47	0.0425305262127352
MECR	-0.62	0.0486213780088914
TLCD1	-0.78	0.0644517162815851
FANCA	-0.28	0.0413888033399993
RNF5	-0.31	0.042427815529457
TTF2	-0.5	0.0409589012636782
FCGR1A	-1.25	0.0747854074518477
GUCY1B3	-0.38	0.0472495305054656
FAM168B	0.25	0.0410460012852755
CD300C	0.75	0.0853657990166614
ZHX2	0.36	0.0410460012852755
AC010536.1	0.98	0.0758002333637946
NT5C	-0.38	0.0452922382510449
OXSM	-0.53	0.0474150058638721
ARMC9	0.57	0.057794470318339
IQCC	-0.4	0.0592336161014624
DESI2	0.26	0.041173925103735
STARD3	0.27	0.0433030475639013
MRM1	-0.94	0.0516242005313624
SMC5	0.27	0.0412074807928338
SIRT1	0.32	0.0420413638111842
LLGL2	0.36	0.0456671719764885
DGAT2L6	0.69	0.0595785640289644
COLQ	0.48	0.0615450568422222
SLC2A6	0.39	0.0427299628859661
POPDC2	0.65	0.0750233745141027
ZNF630	-0.57	0.0650027535845308
TLE2	1.09	0.0785792089733553
HEG1	0.43	0.0472151701552726
PSMB8	-0.33	0.0415079887865379
C12orf66	-0.43	0.0538531951596204
MFSD9	0.38	0.0477134023823403
STRADB	-0.55	0.0499625378026844
KLHL36	0.4	0.0421161888531392
RUFY1	-0.3	0.043743976320997
EBF1	0.3	0.0419739863881455
CEP44	-0.34	0.0426149404902039
AP5B1	0.31	0.0470602334910212
SPATA5L1	-0.34	0.0476284820284786
TMEM44	-0.58	0.0450278420642628
ANK1	-0.62	0.070787768017962
SPAG7	-0.32	0.0439250401898227
RGS22	0.97	0.0944920359384105
FAM195A	-0.63	0.049457051323474
UQCRC2	-0.3	0.0418543001955664
TAX1BP3	0.47	0.0458717359194681
RNMTL1	-0.42	0.0471958122729016
FAM53B	0.3	0.0425252275474724
RRP8	-0.36	0.0440971015112019
CHCHD3	-0.47	0.0419846229406245
PDF	-0.62	0.0525529962360602
TXLNG	-0.53	0.0421897337511108
SDCBP	0.35	0.0421161888531392
ZSWIM5	2.12	0.0920343678145471
ADI1	0.52	0.0420471933210351
ABCC10	0.42	0.0506995074368658
SLC25A34	0.97	0.0864674729699492
MROH8	-0.56	0.0630093829293823
RNF220	0.26	0.0420777618568843
FRMD6	0.87	0.0743029753949613
GTF2IRD1	0.41	0.0574767877367254
KLHL2	0.39	0.0448409892147523
ACACA	-0.51	0.0421303935141326
WDR74	-0.61	0.0433030475639013
ARFGAP1	0.28	0.0437501078644318
CEP95	-0.27	0.0437501078644318
HAL	-1.13	0.0763844533494411
MDN1	-0.47	0.0430822013480423
NME4	-0.61	0.0437501078644318
CYP2R1	-0.65	0.0452568938923635
MECP2	0.35	0.0440517062122268
SOX11	0.38	0.0426149404902039
ADPRHL2	-0.42	0.0459756646335545
NCOA3	0.54	0.0425909682047341
DNAJC21	0.3	0.0426481260263016
ZFYVE19	0.38	0.0476815803867727
ARRDC3	0.59	0.0426218891848393
MAP3K11	0.34	0.0433030475639013
KHDC1	-0.34	0.0517779136786716
CCDC85B	-0.73	0.0464162033394829
BBIP1	0.33	0.0484693763301192
PIK3R3	0.4	0.043743976320997
GCHFR	-0.47	0.0464083865473497
FAM189A1	0.66	0.0690825577437207
TEX9	-0.86	0.0868748788334965
BBS10	0.31	0.0488013811760407
PHTF1	0.46	0.0464162033394829
ARGLU1	-0.29	0.0431486610841299
SESN3	1.27	0.0450499982405381
MAGEH1	-0.28	0.0484130234547064
NFIB	-0.44	0.0589213665906808
ZC3H12B	0.65	0.0662356802182887
MRPS33	-0.41	0.0527522698923092
B3GNT1	0.39	0.0476284820284786
TMTC1	3.41	0.0930970851400326
TGFBR1	0.69	0.0437501078644318
GLO1	-0.38	0.0430080423784167
HEATR1	-0.48	0.043045006132488
UBA52	-0.32	0.0449990218737789
TMEM107	-0.64	0.0470587997738905
TRIP12	0.28	0.043743976320997
HIST1H4D	-0.49	0.0441183408167263
ZNF671	0.33	0.0484652176395211
ZNF503	0.59	0.0652853796354375
S100A13	-0.6	0.0498072716748883
PRMT2	-0.43	0.0445767161800986
HLA-DPA1	-0.46	0.0433030475639013
PRPF39	-0.28	0.0442613601251599
MRPL11	-0.54	0.0472660287954579
ELMO1	-0.39	0.0548839360397593
MAGIX	0.73	0.0833407191495474
RNF181	-0.45	0.0468686131924346
LZTS1	1.6	0.0930579971741451
MTSS1L	0.84	0.0912446886413042
ZNF510	0.27	0.0452922382510449
DHCR7	-1.18	0.0465188955398447
GALNS	0.36	0.0498804918331079
UNKL	0.35	0.0477134023823403
GSTCD	-0.39	0.0469963643452692
GMIP	0.5	0.0479656394633555
AVIL	0.75	0.0870487976983665
AUH	-0.55	0.0531132749712457
LY6E	-0.5	0.0452568938923635
CTHRC1	0.98	0.0817342146637988
OXLD1	-0.38	0.0490404617706158
HELZ2	-0.57	0.0595785640289644
VPS4B	0.24	0.0438847102537147
FZD2	-0.41	0.0547635211195905
DNAL4	0.36	0.0550108080292977
LIMCH1	1.13	0.0659242696242121
LUC7L2	-0.63	0.0495122171611579
PPP2R2A	0.25	0.0447974122813783
KCTD6	-0.39	0.0553577144970424
TMEM187	-0.59	0.0581401344217677
SEMA3A	-0.57	0.0440401807835037
CTSH	1.08	0.0743885800510218
ITPRIPL1	-0.42	0.0477299243088148
RP11-297N6.4	-0.83	0.0775661084607807
C14orf80	0.37	0.0479942923719954
IFNAR1	0.32	0.045158430823048
TEP1	0.49	0.0451284598109436
FAM114A1	0.91	0.0961587731900029
ALG6	0.31	0.0486142942793329
RAB40B	0.48	0.061527185422803
FBXW11	0.26	0.0443470394729113
CBL	0.44	0.0454354202241748
BRF2	0.3	0.0485260015380013
TRMT61B	-0.36	0.0509901172080347
DEAF1	-0.24	0.0443470394729113
ZNF627	0.39	0.0468385319174385
EID2	-0.4	0.0558183802009232
NHEJ1	0.3	0.04934741878708
KLF9	-0.69	0.0502872819861739
SPRY3	0.87	0.0923747448208286
SPRY3_ENSGR0000168939.6	0.87	0.0923747448208286
DTD2	-0.42	0.0505070174155503
FGFBP3	-1.01	0.0794779272838223
ACSF3	-0.27	0.0473086990855451
GAS1	-0.33	0.0486879518810541
RPL34	-0.53	0.0469399411573808
RAI1	0.5	0.0477299243088148
AK4	-1.84	0.0477134023823403
NUDT5	-0.42	0.0453679212253427
RAB11FIP3	0.36	0.0488750617478612
RFTN1	0.57	0.0458448147598791
PCF11	0.26	0.0451374663695112
NUDT4	0.26	0.0451374663695112
HOXD13	-0.88	0.100588634642154
ACAT2	-0.73	0.0452568938923635
STX11	-0.65	0.0944920359384105
TNFSF13B	-0.75	0.0617158964187971
HIST1H4H	-0.5	0.0480770335451618
CCM2	0.42	0.0510532904759993
MAPK8	0.3	0.0466365252349401
LYSMD3	0.3	0.0477134023823403
DUSP7	0.43	0.0490026203461375
CD302	-0.73	0.0857154955977937
ABCB9	0.49	0.0561749909857801
SPOP	0.23	0.0460143233079661
FLVCR1	-0.33	0.0494456683076978
UGP2	0.27	0.0466365252349401
DNAJB14	0.33	0.0458448147598791
STARD5	-0.6	0.0703910112578033
PAFAH1B1	0.25	0.0469399411573808
SETDB2	-0.39	0.04947078286065
SNAPC3	-0.42	0.047326356633179
DICER1	0.34	0.0464178964178208
DHX57	-0.35	0.0507744261480715
MRPS15	-0.5	0.0484652176395211
XRCC4	-0.34	0.0530397249624065
ZNF555	0.44	0.0506087559540129
MRVI1	-0.65	0.0829031962008713
SH3PXD2A	0.78	0.0502745862628258
TM9SF1	0.29	0.0503986678825247
PNOC	-1.22	0.0894724831802022
C17orf96	-1.1	0.0621495865515404
MEGF10	0.99	0.0568504210656539
GAS2L1	0.5	0.0825983163725398
DPYSL3	0.38	0.0507938606122393
SHISA4	0.77	0.0998601677905851
NME1-NME2	-0.48	0.0470922903179061
ANKIB1	0.31	0.0470811937424436
TOX2	1.39	0.0690742319773321
PIWIL4	-0.66	0.0698329936075758
CEP72	-0.33	0.0541343597179555
ABHD13	0.32	0.0483088138614581
BCL2L11	0.39	0.0482141635210417
MVD	-1.02	0.0489589294281272
LAMA3	-0.64	0.0695731997017589
GREB1	0.64	0.0749406292440396
ATL2	-0.27	0.0476541609135101
DEPTOR	-1.25	0.0920343678145471
AHDC1	0.69	0.0552930093081572
SYNPO	1.4	0.0895875192922039
MTX1	-0.44	0.0513811623937209
CWF19L1	-0.38	0.0536872527981415
POR	0.34	0.0479942923719954
ZNF280C	0.34	0.0509745301787411
CTD-3105H18.14	1	0.0996613648652677
TXNDC11	0.31	0.0500525724120498
DPYSL2	-0.45	0.0478086011305454
PSMG2	-0.37	0.0473521553355646
DOLK	0.68	0.0608005386782128
TNFRSF10D	-1.13	0.059236176106608
NNT	-0.24	0.0469774998769524
NME2	-0.56	0.0640022115873822
DPH7	-0.31	0.0505473421102606
RPTOR	-0.45	0.0511603489850017
LEPRE1	-0.4	0.0509602926866565
SLC7A2	-0.68	0.0470602334910212
XPNPEP1	-0.39	0.0477299243088148
PRICKLE2	0.86	0.0531578615568895
SLC2A12	1.5	0.0918188497770171
TAGLN	-0.47	0.0771018389445662
AGPAT1	0.38	0.0510674468002414
HIST1H3J	-1	0.0476684856840638
NELFB	-0.26	0.0476211393123487
GIN1	-0.34	0.0586465339099606
SPTB	-0.7	0.0857154955977937
DCHS1	-0.66	0.0606040932958884
KIFAP3	-0.39	0.0551008895828234
ADC	1.27	0.0920872841326105
PDE10A	0.93	0.0938837045290366
DOLPP1	0.49	0.0507938606122393
RP11-111M22.2	-0.45	0.0618646388499827
KIF23	-0.4	0.0477134023823403
IER5	-0.4	0.0508793696926962
ZCCHC6	0.34	0.0477299681870068
BTN3A3	-0.39	0.0508525698815731
CRHR1	-0.67	0.0984543980250974
EGLN2	-0.27	0.0479656394633555
ADD1	0.33	0.0473086990855451
ATP9A	1.09	0.0917477515796637
GINS2	-0.51	0.0477793529981006
ZNF564	0.38	0.0533161603984932
UBE4A	0.27	0.0473583920515743
CCDC144A	-0.61	0.0857892831323324
TLR4	0.52	0.0678263729540643
DENND1A	-0.38	0.0548839360397593
EPB41L1	1.12	0.100139830591768
AP4S1	0.45	0.0595785640289644
C7orf55	-0.33	0.0578310732093694
EIF3F	-0.28	0.0479656394633555
MT1X	-0.62	0.0622659722782028
B3GALT1	0.71	0.0841070975627708
ACAA2	-0.37	0.0477299243088148
CDK4	-0.48	0.0475261704023166
HAUS1	-0.39	0.0484652176395211
IFT74	-0.33	0.0539325413693349
TCTN2	-0.72	0.0764684268625218
SCML4	-0.77	0.0751863741980203
CD226	1.26	0.108361617588195
TRIM8	0.34	0.0490779981542714
TESK1	0.41	0.051884625941792
TMEM258	-0.54	0.0492704202037414
U2SURP	-0.29	0.0484468733029845
BAIAP3	0.93	0.0944371361071536
GPR85	-0.52	0.0574703683518427
CCNE2	0.42	0.0490779981542714
SCAF8	-0.26	0.0479729852740683
FZD3	0.52	0.0478575507987195
TAF3	0.41	0.054376223038201
MRPL40	-0.37	0.0559740360026839
PABPC4	-0.38	0.0477793529981006
SPPL3	0.39	0.0543498672709807
TBPL1	0.33	0.0521891046522067
ANKRD16	-0.56	0.0665398237310901
FBXO15	0.77	0.0840145421495616
CCT8	-0.36	0.0494646797428127
NRL	0.52	0.0660461165318904
ZNF91	0.31	0.0492200696625029
IFI35	0.46	0.0602470872225902
TC2N	1.8	0.112510870850116
INPPL1	0.29	0.0480770335451618
BOD1	-0.39	0.0541214319560682
GEMIN2	-0.46	0.0557819519333665
AGTPBP1	-0.41	0.0485260015380013
RUNX1	0.43	0.0487269934715528
SLC25A6	-0.36	0.0485306473736676
SLC25A6_ENSGR0000169100.8	-0.36	0.0485306473736676
KIAA1586	-0.38	0.0519795873721739
RFX5	0.28	0.0484299775446567
MRPL39	-0.34	0.0511593390280188
BBS7	-0.31	0.0522374707738899
YIF1B	-0.33	0.0527522698923092
ZNFX1	0.49	0.0492673226716135
FAM110D	-0.76	0.108706262478561
EGR1	1.94	0.0582650260087193
ASB2	0.94	0.0922231141521065
BCAP29	0.36	0.0512829589831032
FNBP1L	0.31	0.0490470009124954
PPIP5K2	-0.35	0.0486544282952337
TNC	2.51	0.111355021537801
RPS6KA1	0.25	0.048508425559094
SLC25A29	-0.46	0.050997037482376
MUTYH	-0.46	0.0548107289104647
MANEA	-0.44	0.0514896631907603
STX1A	0.43	0.054337621696563
FPGT	-0.35	0.0593676223270627
ZBTB1	0.38	0.0486544282952337
RECQL4	-0.3	0.0491269943075908
ZFP3	0.39	0.0523795982309504
GAD1	-0.51	0.0729536099813091
ZNF394	0.26	0.051430988886425603
FAM122C	0.37	0.0624790483998041
KBTBD6	-0.49	0.0563963214682016
FLJ00104	0.78	0.0733985300631779
MORC4	0.51	0.0574703683518427
ETV1	-0.55	0.0708127129135514
PEX6	-0.33	0.0525961136303481
GCSH	-0.62	0.0538290043362711
PIAS2	-0.26	0.0508752877093145
ATP5SL	-0.24	0.0524550734795048
C12orf10	-0.4	0.0538433123201817
GRAPL	0.49	0.0768692203092194
TPM4	0.31	0.0521417579969741
FZD4	-0.53	0.0827050425916213
WDFY3	0.58	0.0508752877093145
NAPA	0.32	0.0509901172080347
INO80E	-0.28	0.0508436601402459
PWP1	-0.44	0.0507744261480715
PSEN2	1.15	0.106686203278207
SNRPA	-0.36	0.0495122171611579
CDK8	-0.29	0.0537195454417961
SELM	1.92	0.115739964282559
UNC93B1	-0.31	0.0500578485998346
ANKRD13B	-0.61	0.0616766431196793
RAC3	-0.64	0.0824487382490567
MKL1	0.46	0.0524480346010262
